"","random_sample1","random_sample2","random_sample3","random_sample4","random_sample5","random_sample6","random_sample7","random_sample8","random_sample9","random_sample10"
"SGIP1",933,219,681,35,310,136,652,214,349,327
"AZIN2",371,627,405,221,158,194,192,543,196,341
"CLIC4",11688,7341,11264,9094,9812,8045,2032,13855,11605,11777
"AGBL4",291,46,180,34,778,264,220,390,148,139
"NECAP2",2619,2816,1964,3231,2860,2575,3010,2812,2563,4108
"SLC45A1",210,101,217,335,56,523,111,163,469,445
"TGFBR3",1453,893,645,662,1130,887,909,1189,628,873
"DBT",696,462,395,382,808,1371,414,720,647,835
"RFWD2",550,986,977,973,1332,1278,474,765,543,1119
"C1orf21",1399,1450,1801,482,569,1102,1497,615,1670,868
"PRUNE",2017,2783,3084,1674,2339,2591,2490,1748,2262,2248
"LIN9",13,69,401,246,722,254,148,181,126,267
"PRKCZ",195,119,243,179,510,255,117,257,509,466
"PRDM16",89,503,326,313,343,133,222,173,426,469
"C1orf159",134,297,791,305,325,852,174,92,335,216
"CAMTA1",4299,4874,3806,4311,3952,3950,3658,4285,4081,6113
"ICMT",4427,1676,3484,4139,2795,5423,4136,4396,3617,3204
"LOC391003",0,0,0,0,0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0,0,0,0,0
"LOC645382",0,0,0,0,0,0,0,0,0,0
"EPHB2",233,328,966,645,510,272,217,75,775,866
"PINK1",775,1128,1526,1458,753,1043,930,916,1414,1790
"USP48",1633,2634,1785,2651,4184,4026,3337,1518,3555,2640
"PINK1-AS",70,163,129,89,64,120,86,74,104,112
"EPB41",245,720,925,347,1063,1287,1130,1789,571,1956
"KHDRBS1",2428,4179,4061,3852,2897,4152,3179,2889,3560,3654
"EYA3",2514,2379,2771,2038,3585,3935,1170,3965,3310,2661
"NUDC",8819,10756,7892,8321,7974,12244,9130,7508,8449,9444
"PUM1",5643,3408,5504,3613,5390,4295,2987,3971,3677,4476
"STMN1",7903,9549,7005,6984,5122,8783,5404,7251,5409,5500
"THRAP3",14424,10006,9354,14767,12724,16719,13389,15360,11395,13397
"SFPQ",2842,3128,3261,2964,3394,3475,2317,2756,2978,3674
"CSMD2",2,18,128,137,262,9,33,0,6,400
"MACF1",7886,6264,7418,5349,6387,6059,3780,6295,6079,8312
"TRABD2B",0,0,0,1,0,0,8,0,0,7
"PTPRF",3514,6690,7624,8247,6236,6916,4410,3205,6662,8575
"GPBP1L1",4133,3070,2691,4320,2467,4653,4461,4081,3405,5036
"RNF220",1084,1583,1864,1171,1640,1157,1275,723,1408,1873
"TCEANC2",382,532,516,110,528,594,610,424,354,587
"SCP2",12429,12121,15429,8029,10761,11819,8760,8416,10593,11251
"DAB1",0,3,133,130,0,131,45,0,38,0
"RAB3B",10798,14121,9775,3944,7299,8754,7390,8895,8059,8637
"USP24",1211,1011,1749,1530,1187,2905,775,2798,889,1306
"FAF1",752,818,1405,487,1289,1342,1360,695,590,1402
"FGGY",458,873,745,821,1101,2014,686,541,823,1183
"NFIA",2789,4048,2625,3290,3672,2479,2012,1527,2482,1959
"USP1",1396,2579,1457,1045,2110,1454,2061,1257,1743,2130
"CACHD1",42,178,281,87,164,32,214,730,192,566
"LEPR",4799,4370,3289,4456,5490,4511,5317,5753,4343,1061
"ITGB3BP",246,1230,789,259,129,297,415,681,439,295
"NEGR1",348,124,368,99,311,259,336,255,9,418
"LRRC7",0,0,0,0,0,0,0,0,0,0
"ST6GALNAC3",1889,657,1165,788,1048,1143,4,1202,1356,1531
"PIGK",2915,3589,4042,1866,3355,3087,2767,2929,3966,2416
"DDAH1",2961,2324,1895,2247,2753,2686,1854,1230,2634,3447
"CLCA4",0,0,0,0,0,0,0,0,0,0
"LRRC8C",1234,104,1482,2990,2301,226,106,1900,985,1268
"PKN2-AS1",0,1,0,0,0,0,0,0,0,0
"FAM69A",1685,1719,1444,852,878,599,450,833,1616,999
"GCLM",2615,4186,3210,1790,1947,3105,1791,2586,3499,3339
"LOC729970",31,133,241,49,12,56,40,3,45,51
"NTNG1",320,895,44,4,253,283,269,27,253,0
"PHTF1",661,802,954,463,626,551,549,736,549,609
"KCNA2",0,0,0,0,0,0,0,0,0,0
"GNAI3",11876,7216,8486,9809,7507,10765,6574,13668,8618,9354
"RAP1A",1422,1231,1900,689,1458,1188,703,966,1604,1343
"RHOC",14213,17224,18311,24013,19048,20330,10354,15613,18380,22515
"NOTCH2",727,2617,1997,1979,2186,1519,1053,634,1198,2330
"WDR3",1333,1437,1141,1576,1230,407,1398,1461,1382,1210
"PDZK1",682,474,854,161,721,646,922,521,690,504
"NBPF10",8,45,61,42,38,6,45,4,27,31
"NBPF9",4.33333333333333,6.66666666666667,3.66666666666667,3.66666666666667,9,4.66666666666667,3,0.333333333333333,2.33333333333333,4.33333333333333
"NBPF20",0,0,0,0,0,0,0,0,0,0
"NBPF8",0.5,4.5,4,1,1,2.5,2,0.5,0,3.5
"NBPF25P",2.66666666666667,6,0.666666666666667,0,3.33333333333333,0.333333333333333,0,0,1,12.6666666666667
"OTUD7B",178,486,331,219,229,326,348,134,266,384
"TPM3",10099,7931,6547,10741,7530,12708,8472,10969,8214,9330
"GBAP1",182,90,59,35,164,117,84,120,82,119
"SMG5",1096,2551,3230,1776,3192,3281,1529,1716,3508,3862
"FCGR2A",2,51,26,68,44,16,0,13,17,6
"PBX1",2197,1698,1988,2206,1286,2917,1047,1492,882,1508
"LOC440700",0,7,2,9,4,0,23,0,0,6
"DNM3",421,15,52,39,101,107,617,334,20,134
"MROH9",0,0,0,0,0,0,0,0,0,0
"TNFSF18",0,0,0,0,0,0,0,0,0,0
"TNN",3,0,3,0,0,15,21,0,9,0
"BRINP2",0,0,0,4,34,0,0,0,10,15
"SOAT1",5202,6430,7456,3206,6399,6319,5189,5974,6160,9237
"ACBD6",1915,2105,3107,1640,1486,2116,1379,1485,2342,2880
"SMG7",1802,1029,2833,2042,1718,1542,807,1147,2410,2049
"RGSL1",0,0,0,0,0,0,0,0,0,0
"RASAL2",532,321,956,718,711,592,560,647,560,767
"PTGS2",0,0,0,0,0,0,0,0,0,0
"ZBTB41",1531,683,1590,624,1481,1139,972,855,1384,1045
"NEK7",1466,686,952,711,890,1079,434,577,877,1089
"SRGAP2C",0,0,0,0,0,0,0,0,0,0
"SRGAP2",578,92,141,135,339,142,333,364,132,206
"SRGAP2D",62.5,39,41.5,36,41.5,58,31,52.5,76.5,32
"PPP1R12B",700,621,756,198,656,433,395,592,451,279
"SRGAP2B",0,0,0,0,0,0,0,0,0,0
"HHAT",38,64,307,87,35,161,350,30,20,213
"ESRRG",4,247,302,225,258,363,89,350,93,581
"BATF3",20,14,0,0,42,0,12,42,6,12
"USH2A",39,6,17,3,25,13,16,4,157,5
"EPRS",9763,10462,6692,5320,9067,8134,8283,8031,9723,9113
"RNU5F-1",0,0,0,0,0,0,0,1,0,0
"DNAH14",821,506,617,105,239,634,649,470,438,781
"TSNAX-DISC1",0,0,0,0,0,0,0,0,0,0
"NUP133",2204,2293,1845,600,688,798,1264,1926,1886,2278
"LINC00582",0,0,0,0,0,0,0,0,0,0
"TRIM11",807,610,1387,1099,538,1026,825,677,842,749
"MTR",470,1190,1682,1079,900,2345,911,1665,971,1350
"LYST",2177,1671,1605,835,2047,1395,2202,1239,1139,1460
"RGS7",240,495,267,77,381,444,204,250,470,1119
"LOC100130331",49,63,137,64,61,93,63,60,49,156
"SMYD3",2734,2331,1123,6485,1568,2825,2212,4611,2876,2790
"ZNF496",409,210,504,355,1038,285,312,500,490,744
"KIF26B",19,53,124,7,38,45,27,152,49,177
"OR14C36",0,0,0,0,0,0,0,0,0,0
"LINC01128",523,834,568,395,742,743,639,712,649,573
"CDK11B",71,74,133,84,157,137,53,112,115,165
"NADK",1599,928,1650,2233,800,1974,2301,2125,1497,1014
"AURKAIP1",5810,6662,6235,6906,4894,5277,5938,5096,6820,8057
"FAM132A",177,35,54,71,89,33,12,190,41,124
"TNFRSF14",6818,2081,3997,6950,4069,6061,6191,8050,3850,4501
"SKI",207,508,671,90,301,230,580,101,321,240
"TTC34",0,0,0,0,0,0,0,0,0,0
"DFFB",228,153,311,294,374,38,250,285,111,337
"CCDC27",0,0,1,0,0,0,0,0,0,0
"MEGF6",135,146,82,179,652,645,56,199,106,419
"AJAP1",113,27,179,106,88,18,140,140,56,20
"KCNAB2",3684,975,1077,4290,687,4345,4546,4387,2052,629
"NPHP4",832,326,690,308,637,503,589,400,555,838
"PLEKHG5",5,13,4,76,47,12,44,8,132,123
"ACOT7",957,901,843,705,635,1684,1537,997,1109,1745
"TNFRSF9",130,86,44,133,126,0,170,173,52,212
"PER3",1966,1055,1818,728,1732,1041,1315,2097,1206,1539
"RERE",2821,2719,3332,2214,3690,2846,4017,1313,4118,3997
"H6PD",266,1226,1094,1122,709,828,1502,434,756,1584
"GPR157",9,5,10,7,3,0,13,1,17,81
"CLSTN1",2814,3628,3994,3064,3525,2875,4118,2282,3207,5100
"CTNNBIP1",217,278,1050,740,969,772,636,379,534,711
"KIF1B",2131,1432,2028,1348,2986,1995,1922,1226,2686,1794
"UBE4B",1112,1391,1603,1051,928,967,812,1469,1212,855
"EXOSC10",2069,2039,3741,1652,2487,3688,2046,1906,2360,2954
"MTOR",1787,1642,1952,1837,1145,1740,1913,1249,1750,1598
"CASZ1",58,389,329,235,413,293,133,175,453,167
"C1orf127",2766,1632,1357,1004,1610,2318,1032,2037,501,2563
"PEX14",612,631,890,998,943,389,531,421,890,662
"MFN2",1382,2597,1949,1858,1831,1800,1734,1515,1940,1786
"AGTRAP",2343,2508,3329,2402,2995,3244,2493,2170,2060,4165
"VPS13D",2240,2146,1679,2042,2632,1349,2642,2020,2440,2348
"TNFRSF8",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0
"FHAD1",239,118,28,107,229,168,231,284,29,24
"TMEM51-AS1",43,41,85,175,161,85,71,74,89,137
"KAZN",88,37,160,100,156,14,174,16,98,71
"DNAJC16",1219,1324,1136,1416,875,1407,799,954,1615,1455
"FBXO42",3212,1410,1457,3461,2736,2265,3233,3247,2140,1541
"SPEN",1419,1798,2006,1355,2393,2515,1873,2574,1382,3316
"MFAP2",747,1520,1168,714,704,1238,951,485,1133,988
"NBPF1",1320,1806,808,3960,1190,935,705,1974,1798,2153
"PADI2",0,0,0,0,0,0,12,0,0,0
"ESPNP",0,36,0,0,0,0,0,0,0,0
"PADI1",0,0,9,16,0,0,0,9,0,0
"ARHGEF10L",1073,895,1779,695,1803,1752,1716,1504,1842,1831
"ACTL8",0,0,0,0,0,0,0,0,0,0
"IGSF21",152,39,90,13,104,66,23,41,26,41
"CAPZB",8129,7274,8361,7426,8109,8303,8717,8817,8660,9943
"IFFO2",34,615,584,519,569,75,109,215,281,424
"PAX7",0,0,0,0,0,0,0,0,0,0
"UBR4",5326,5112,6302,7901,6335,4937,4055,4526,5663,8047
"LINC01141",5,5,10,0,5,0,10,0,10,0
"TMCO4",424,729,584,404,294,1398,321,86,797,746
"EIF4G3",2519,1936,3721,2316,2283,2777,1779,2140,2574,3283
"ALPL",0,0,15,0,0,15,30,3,15,15
"HP1BP3",4678,8150,6230,7366,5145,6449,4808,6125,6182,7448
"ECE1",2907,4853,5322,4750,4201,3114,4724,3354,3875,9649
